 x ; u
   0.0000000000000000       ;    0.0000000000000000     
   6.4129925745196686E-002  ;    0.0000000000000000     
  0.20414990928342885       ;    0.0000000000000000     
  0.39535039104876057       ;    0.0000000000000000     
  0.60464960895123943       ;    0.0000000000000000     
  0.79585009071657120       ;    0.0000000000000000     
  0.93587007425480329       ;    0.0000000000000000     
   1.0000000000000000       ;    0.0000000000000000     
  0.93587007425480329       ;    6.4129925745196686E-002
  0.79585009071657120       ;   0.20414990928342885     
  0.60464960895123943       ;   0.39535039104876057     
  0.39535039104876057       ;   0.60464960895123943     
  0.20414990928342885       ;   0.79585009071657120     
   6.4129925745196686E-002  ;   0.93587007425480329     
   0.0000000000000000       ;    1.0000000000000000     
   0.0000000000000000       ;   0.93587007425480329     
   0.0000000000000000       ;   0.79585009071657120     
   0.0000000000000000       ;   0.60464960895123943     
   0.0000000000000000       ;   0.39535039104876057     
   0.0000000000000000       ;   0.20414990928342885     
   0.0000000000000000       ;    6.4129925745196686E-002
   8.9426611676208509E-002  ;    8.9426611676208509E-002
  0.10648677775190837       ;   0.24650676129014051     
  0.11251968979762408       ;   0.44374015510118797     
  0.10648677775190837       ;   0.64700646095795111     
   8.9426611676208509E-002  ;   0.82114677664758295     
  0.24650676129014051       ;   0.10648677775190837     
  0.26959983941155607       ;   0.26959983941155607     
  0.26959983941155607       ;   0.46080032117688779     
  0.24650676129014051       ;   0.64700646095795111     
  0.44374015510118797       ;   0.11251968979762408     
  0.46080032117688779       ;   0.26959983941155607     
  0.44374015510118797       ;   0.44374015510118797     
  0.64700646095795111       ;   0.10648677775190837     
  0.64700646095795111       ;   0.24650676129014051     
  0.82114677664758295       ;    8.9426611676208509E-002
